sec_ip_src,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags,num_src_flows,src_ip_dst_prt_delta
0_127.0.0.1,127.0.0.1,127.0.0.1,33238,1883,6,8,7,0.0026968547276088168,0.003129164377848307,0.005756437141746326,0.006155309637127643,3.886222839355469e-05,4.1961669921875e-05,0.01678180694580078,0.016878843307495117,0.015582493373325892,0.0180966059366862,48.75,42.285714285714285,12.121777922400657,4.199125273342591,40.0,40.0,74.0,52.0,390,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33241,1883,6,8,7,0.003259829112461635,0.003780841827392578,0.006774397207334431,0.00723313506607338,4.38690185546875e-05,4.1961669921875e-05,0.01983189582824707,0.019935131072998047,0.018616880689348494,0.02161375681559245,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33244,1883,6,8,7,0.0025540079389299664,0.0029561519622802734,0.0050443042349156775,0.005390281301594342,3.814697265625e-05,3.910064697265625e-05,0.014878988265991211,0.014979839324951172,0.014408179691859655,0.01669641335805257,49.75,42.285714285714285,14.298164217828806,4.199125273342591,40.0,40.0,82.0,52.0,398,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33247,1883,6,8,7,0.002881288528442383,0.0033406813939412436,0.006019299885597277,0.006429876542000951,3.790855407714844e-05,3.981590270996094e-05,0.01761007308959961,0.017707109451293945,0.016422407967703685,0.019071539243062336,49.375,42.285714285714285,13.462331707397496,4.199125273342591,40.0,40.0,79.0,52.0,395,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33250,1883,6,8,7,0.0031939915248325895,0.0037036736806233725,0.006680322934703771,0.007146978402138694,5.1021575927734375e-05,4.9114227294921875e-05,0.01953911781311035,0.019670963287353516,0.018220492771693637,0.021175463994344074,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33255,1883,6,8,7,0.002813577651977539,0.003262162208557129,0.005933073397786346,0.006339268821539717,8.678436279296875e-05,7.891654968261719e-05,0.017333030700683594,0.017425060272216797,0.016149384634835378,0.01876060167948405,48.75,42.285714285714285,12.121777922400657,4.199125273342591,40.0,40.0,74.0,52.0,390,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,50246,1883,6,2,1,0.00017690658569335938,0.0,0.0,0.0,0.00017690658569335938,0.0,0.00017690658569335938,0.0,0.00017690658569335938,0.0,42.0,44.0,2.0,0.0,40.0,44.0,44.0,44.0,84,44,0,0,1,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,36593,1883,6,2,1,0.0001678466796875,0.0,0.0,0.0,0.0001678466796875,0.0,0.0001678466796875,0.0,0.0001678466796875,0.0,42.0,44.0,2.0,0.0,40.0,44.0,44.0,44.0,84,44,0,0,1,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,54736,1883,6,5,4,1.7550012469291687,2.3399339516957602,1.4795760821336394,1.2450768381801312,0.00016307830810546875,1.0050017833709717,4.001802921295166,4.001780033111572,2.7608930468559265,3.6809418201446533,40.8,44.0,1.5999999999999999,0.0,40.0,44.0,44.0,44.0,204,176,0,0,4,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33931,1883,6,2,1,0.00017213821411132812,0.0,0.0,0.0,0.00017213821411132812,0.0,0.00017213821411132812,0.0,0.00017213821411132812,0.0,42.0,44.0,2.0,0.0,40.0,44.0,44.0,44.0,84,44,0,0,1,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,50022,1883,6,2,1,0.00016880035400390625,0.0,0.0,0.0,0.00016880035400390625,0.0,0.00016880035400390625,0.0,0.00016880035400390625,0.0,42.0,44.0,2.0,0.0,40.0,44.0,44.0,44.0,84,44,0,0,1,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,50267,1883,6,2,1,0.0001690387725830078,0.0,0.0,0.0,0.0001690387725830078,0.0,0.0001690387725830078,0.0,0.0001690387725830078,0.0,42.0,44.0,2.0,0.0,40.0,44.0,44.0,44.0,84,44,0,0,1,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,64171,1883,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,28,28,0,0,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,60881,1883,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,28,28,0,0,0,0,0,0,28,0.0
